from,amount,to

371,$195.40,110

363,$469.53,401

393,"$2,331.75",71

489,$813.50,332

222,"$1,106.54",38

237,"$2,375.48",143

256,$785.57,54

236,"$5,064.46",481

172,$538.31,132

135,$152.05,495

190,$527.36,469

414,"$1,198.40",201

105,$742.06,472

25,$865.90,88

72,"$1,233.32",159

443,"$6,481.65",421

163,"$1,079.02",441

184,$928.57,32

98,$514.72,127

390,$659.60,269

379,"$1,055.35",149

239,$348.05,342

212,"$7,075.22",38

383,$492.53,388

188,$504.82,123

323,$890.69,429

437,$460.37,493

161,"$5,288.35",145

203,$351.19,16

372,"$1,670.24",29

321,$305.74,197

214,$797.53,308

251,$473.62,117

260,"$3,252.59",335

371,$984.73,179

36,"$1,569.66",147

166,"$2,293.00",75

110,$185.26,285

190,$261.03,375

475,"$1,230.27",301

203,$691.16,71

211,"$6,218.52",14

133,"$4,499.10",149

371,"$1,031.55",193

5,$998.91,369

141,$637.70,198

279,$520.98,66

174,$824.85,409

36,"$4,254.20",256

58,$177.84,490

272,"$1,571.31",451

364,"$3,505.02",289

136,$107.97,5

212,"$1,781.68",324

64,$195.64,305

408,$654.91,390

452,"$4,406.94",387

226,"$1,295.98",75

153,"$1,545.49",441

292,$135.75,162

458,$907.55,39

274,$244.18,29

323,"$3,659.29",43

396,$843.77,13

323,"$5,211.56",58

332,"$1,662.35",335

356,$985.75,289

252,"$1,081.00",88

389,$388.31,456

371,"$1,613.70",373

118,$511.87,162

212,$359.91,183

356,"$5,203.21",303

184,"$2,109.77",318

446,$162.14,390

153,"$1,507.03",20

433,$322.33,171

110,"$8,506.63",153

124,"$1,385.19",375

383,$916.00,436

266,"$5,799.46",261

196,$221.29,120

490,$552.72,434

325,$945.56,252

203,$761.54,180

443,$375.94,418

11,$370.34,178

198,"$6,293.36",302

267,$719.63,39

349,"$3,304.88",433

384,"$2,669.31",124

184,"$3,157.82",291

196,"$3,833.40",70

81,"$1,053.33",268

418,$964.22,192

452,"$2,102.46",94

405,$596.97,79

152,$731.06,144

271,$412.27,307

364,"$1,555.36",372

266,$519.79,306

163,$513.10,149

144,$261.88,183

340,$320.42,153

260,"$1,788.54",120

141,$360.19,350

117,"$1,079.35",418

225,$347.45,220

349,$457.86,93

292,$915.90,381

393,$842.06,67

401,"$3,487.24",155

147,"$1,109.68",303

91,"$1,910.25",187

236,"$1,309.77",311

64,"$1,497.57",387

292,"$1,067.39",158

304,"$2,015.07",236

304,"$2,646.99",428

423,"$4,040.69",115

331,$341.96,23

471,"$3,566.30",392

152,"$2,093.51",466

279,"$8,087.77",23

175,$971.97,71

377,"$1,034.97",204

359,$632.13,31

251,"$3,614.76",242

382,$636.46,422

305,$268.54,53

171,$978.05,33

275,"$1,148.76",176

329,$820.73,222

263,"$5,969.81",326

352,$932.86,5

282,"$1,091.25",213

59,"$4,146.45",470

333,"$1,072.30",188

161,"$1,269.42",132

134,$223.68,407

109,"$4,604.58",332

398,"$1,531.89",376

118,$809.99,375

455,$843.54,498

342,$587.69,412

410,"$6,931.38",95

151,$986.67,179

446,$642.24,103

180,"$3,124.42",430

225,$304.28,345

128,"$1,082.46",173

227,$793.52,185

450,$339.46,408

48,"$7,137.55",336

111,"$1,501.59",467

305,"$2,681.08",96

18,"$1,297.50",179

485,"$1,260.83",311

137,"$3,496.00",360

46,$84.54,308

73,$310.09,24

45,"$1,251.70",361

176,$159.62,231

459,"$1,540.63",221

261,"$1,872.14",156

141,$979.94,26

33,"$1,889.36",62

302,$357.71,159

69,$288.10,320

25,$523.75,278

452,"$9,188.00",178

27,"$6,738.38",383

348,"$4,432.73",231

50,"$1,658.93",320

454,"$1,081.90",190

490,"$1,574.14",211

126,$420.75,301

403,"$4,195.17",330

210,$229.32,497

141,$975.45,66

123,"$1,664.88",484

154,$283.83,388

49,"$1,282.65",353

90,$335.34,235

399,$698.07,152

28,$654.26,143

149,"$1,870.85",140

479,$213.15,372

24,$492.89,92

75,$374.43,471

53,$877.37,281

195,"$2,447.07",108

316,"$1,036.83",124

144,"$3,884.41",452

227,$342.51,40

475,"$7,013.93",88

229,$939.82,357

143,"$1,108.65",133

332,"$2,902.52",53

311,"$1,501.53",380

200,"$1,157.15",360

82,$668.21,51

302,"$1,674.44",88

175,"$1,351.86",322

480,$306.95,262

379,"$1,161.96",189

364,"$1,151.60",475

219,"$5,109.26",458

440,"$8,144.19",424

216,"$2,753.41",486

24,"$2,345.31",284

127,"$4,279.71",271

67,"$16,942.77",268

477,"$1,449.83",416

56,"$4,812.50",415

221,"$3,585.42",89

324,"$1,265.58",264

215,"$1,098.22",347

24,$831.54,169

187,$279.43,247

359,"$5,002.46",190

348,"$7,389.17",294

13,"$2,962.01",352

455,$460.65,14

307,"$1,614.50",172

281,"$1,484.25",57

381,$717.04,332

137,"$1,696.42",314

25,$336.89,231

494,"$3,419.11",389

106,$534.85,329

182,"$1,161.95",185

326,$934.09,31

390,$558.70,438

173,"$1,620.10",420

348,$94.74,402

337,$119.09,323

354,$460.81,278

395,"$1,208.06",297

94,"$13,253.57",126

356,$500.72,439

414,"$2,844.77",463

128,$508.79,466

352,"$2,325.93",442

305,"$1,520.09",478

25,$490.07,150

352,"$1,304.92",298

376,$245.23,275

450,$530.75,375

476,$764.05,125

489,$290.15,207

361,"$2,339.47",374

481,"$3,684.04",267

269,$91.82,260

307,"$1,435.60",346

214,$217.68,201

293,"$2,107.40",443

367,"$4,279.71",123

15,"$5,075.32",113

298,"$1,607.93",311

387,$708.35,210

318,$310.18,80

79,$531.29,198

294,$833.67,86

74,$110.78,322

119,"$4,425.81",159

393,"$3,480.50",138

125,$532.86,341

149,$196.09,83

189,"$15,630.97",362

164,$435.48,271

359,$637.26,414

203,$862.51,5

498,$348.15,443

367,"$1,057.84",170

60,"$1,750.18",395

65,$658.90,167

236,$468.61,316

89,$369.73,25

356,$820.85,160

430,$285.89,302

226,$710.89,272

485,$737.45,228

219,"$3,496.83",444

186,"$5,299.47",243

487,"$1,306.73",203

271,"$1,072.41",339

352,$581.23,429

95,$671.22,194

171,$712.95,460

379,$261.21,18

380,$276.48,233

337,$572.17,357

346,"$2,232.82",354

88,$312.49,259

75,"$2,405.21",457

448,$261.14,470

313,"$1,702.37",297

63,"$1,965.13",224

19,"$1,835.45",180

99,"$3,374.03",295

387,$199.35,154

15,"$9,889.20",303

350,"$1,723.31",216

242,"$2,456.48",357

337,$198.66,377

38,$806.09,378

67,$515.92,229

448,"$1,165.19",139

137,"$2,265.49",243

295,$392.40,353

393,"$1,544.69",456

224,"$1,247.70",17

430,$184.01,454

106,"$4,350.49",420

309,$699.42,323

165,"$1,014.03",11

468,$622.35,191

124,$766.22,283

155,"$1,197.87",173

188,"$3,340.42",313

495,$346.43,115

280,"$1,911.33",391

391,"$1,428.51",364

202,"$5,267.02",256

417,$431.20,332

395,"$2,128.60",8

475,$692.28,218

145,$564.73,27

304,$520.64,115

212,"$1,090.32",394

395,"$2,935.21",8

329,"$2,848.60",377

213,"$3,436.25",445

328,$770.35,106

398,"$5,728.24",500

112,$485.45,274

196,$793.56,320

412,$572.03,430

3,"$5,139.94",58

156,$504.15,104

348,"$1,277.15",136

294,$74.81,481

421,"$3,770.73",20

311,"$3,014.36",387

468,"$2,791.28",269

389,$926.59,408

360,"$3,127.90",34

397,$958.85,332

396,"$1,660.62",182

88,$645.52,429

109,"$2,499.49",314

137,"$1,237.84",259

388,"$1,215.51",240

423,"$1,212.03",181

136,"$2,620.06",332

73,$899.91,280

178,$852.20,406

52,"$8,373.94",196

249,$423.82,404

260,$559.59,412

58,$790.56,17

74,"$1,038.94",467

442,"$2,045.41",326

178,$228.96,165

370,"$1,539.10",329

463,$832.76,420

403,"$2,545.51",224

61,"$1,078.13",214

212,"$4,447.44",490

466,$204.85,466

489,"$1,019.11",410

337,$974.24,113

44,"$2,997.98",259

32,"$2,585.92",190

326,$726.83,186

27,"$1,875.75",343

131,$321.61,498

299,$608.97,267

117,"$2,310.35",51

400,$347.96,180

286,"$3,174.57",283

365,$222.96,120

426,"$2,810.74",469

141,"$1,323.25",437

151,$365.09,56

205,"$4,249.51",186

450,$109.11,485

165,$957.26,283

471,"$1,351.20",21

247,"$1,292.28",128

306,$369.15,38

54,"$4,781.61",243

205,"$1,700.80",468

23,$486.46,314

454,"$1,680.99",89

5,$545.91,36

287,$199.17,386

131,"$1,965.44",420

225,"$2,069.58",431

2,$260.97,47

14,$851.49,20

166,$359.53,384

124,$537.71,84

395,"$2,586.93",313

158,"$3,894.89",286

436,"$1,077.12",142

126,$279.74,40

163,$879.24,476

360,"$2,314.05",98

118,"$11,780.36",329

398,$539.23,10

482,$740.41,50

260,"$2,080.22",246

266,"$1,455.99",340

311,"$1,201.50",366

123,$521.47,9

282,$508.16,243

235,$518.45,71

17,"$2,174.58",274

216,$155.26,145

493,$613.41,473

495,$946.95,288

377,$302.62,16

71,$864.22,157

387,$998.44,119

488,"$3,877.16",372

486,"$2,559.78",260

288,$568.89,57

471,$765.06,227

345,$246.83,401

373,$293.09,370

431,$701.17,52

90,"$4,531.96",489

422,"$1,449.21",53

440,$832.51,5

306,"$1,399.51",202

42,"$1,315.06",153

12,$333.71,48

84,$880.71,344

378,"$2,336.94",124

310,"$5,681.04",352

175,$244.79,332

380,$688.67,205

268,$871.16,258

195,"$1,337.81",423

164,"$1,658.85",282

346,$99.31,273

92,$548.47,471

271,"$1,862.99",290

69,$328.43,260

457,"$1,257.06",126

364,"$1,066.00",417

99,$453.05,18

22,$580.29,20

265,$503.34,346

298,"$1,326.50",326

489,"$17,702.67",61

181,$581.40,316

84,"$2,493.02",186

125,$764.44,405

265,"$2,406.11",95

497,$345.55,38

13,"$2,520.80",234

190,"$3,305.18",365

290,$492.64,277

215,"$2,889.63",400

170,$339.03,95

438,$349.03,241

134,"$2,264.79",272

153,$990.47,198

167,"$1,977.25",303

68,"$2,626.40",355

126,$153.70,276

276,"$3,317.83",18

294,"$8,089.59",388

425,$487.13,161

340,"$1,638.66",449

343,$595.06,160

352,$523.80,383

242,"$1,976.08",55

56,$475.52,98

93,$708.56,241

448,$298.01,185

58,"$1,494.45",100

191,$151.73,133

124,$524.59,362

83,$638.05,22

254,$935.39,26

390,"$1,157.81",455

67,$114.93,439

462,"$3,545.91",415

278,"$2,446.32",10

64,$815.87,229

38,$103.67,439

194,"$2,160.55",426

170,"$4,465.73",109

322,$155.86,14

478,"$1,401.92",384

169,$385.51,112

396,$989.00,123

333,$377.32,156

263,$280.54,458

378,$778.91,140

203,"$1,006.01",272

71,"$3,467.28",332

248,$888.49,114

363,$420.80,15

72,$150.18,462

320,"$1,135.67",470

51,$643.31,78

249,"$16,954.75",467

171,$551.21,334

468,$484.82,338

73,$739.77,414

232,"$2,521.05",238

439,"$2,796.85",98

301,$782.79,358

418,$319.73,478

6,$706.33,184

120,$797.73,324

245,"$3,673.14",285

380,$652.58,358

500,$332.60,56

148,"$3,779.11",277

400,$502.59,497

103,"$4,111.01",313

430,$469.22,444

464,"$2,409.17",212

396,"$2,174.92",188

169,$226.22,327

432,"$1,945.39",241

201,$278.58,39

77,"$3,481.35",208

193,"$2,284.86",256

467,"$1,801.11",332

49,$244.24,10

177,$615.78,20

94,$900.69,20

137,$469.14,180

231,"$4,638.40",267

299,$515.79,24

190,"$3,900.59",115

158,$441.21,191

423,"$1,763.99",449

343,"$2,961.33",359

478,$121.27,128

330,"$1,661.01",321

228,$295.06,287

498,"$1,209.54",24

408,$422.87,387

352,"$3,217.43",24

432,$180.43,160

323,$800.00,68

436,$281.46,40

268,$602.57,424

203,$261.80,77

186,"$1,511.88",406

496,$517.34,127

61,"$2,455.88",436

54,$728.46,289

66,"$1,094.28",26

347,$304.31,328

350,$136.37,231

499,$598.05,176

4,"$3,677.36",373

431,"$5,597.96",10

167,"$4,834.11",181

396,$268.32,257

46,"$1,187.56",398

230,"$1,037.84",325

298,"$1,492.71",258

152,$957.47,371

430,$660.32,8

368,"$4,794.05",174

424,"$1,204.88",166

362,"$1,532.28",154

125,"$1,694.67",185

123,"$1,761.02",468

177,$986.83,206

425,$348.41,403

118,"$3,322.57",148

153,$479.19,164

24,$423.38,392

268,"$1,752.89",317

345,"$2,132.40",80

38,$509.68,85

24,"$1,366.74",443

143,"$1,632.76",112

456,$187.92,263

237,$439.44,487

214,$398.48,192

156,$430.07,143

72,$694.08,55

404,$479.48,407

252,$988.38,462

344,"$3,525.64",234

152,"$1,183.13",348

312,"$2,731.38",201

326,$461.30,232

241,$676.36,298

380,$215.99,439

499,$301.37,185

493,"$1,156.76",459

252,$253.59,72

490,$143.63,88

415,"$1,093.34",167

89,"$1,126.69",132

32,$507.34,76

424,$447.57,328

185,"$3,996.44",367

75,$351.64,147

124,$584.34,338

35,"$5,465.55",382

363,"$1,041.19",372

371,"$2,384.88",332

197,$787.08,64

448,$615.74,488

152,"$1,736.53",463

70,"$1,035.45",349

335,$453.03,19

491,"$1,180.61",5

486,$422.21,359

405,$249.03,12

162,"$1,303.10",193

224,$907.81,352

444,"$2,093.61",480

137,"$2,065.16",210

212,"$1,542.65",226

381,$271.12,19

164,"$1,068.66",78

177,$392.06,305

176,"$1,789.42",38

48,$245.72,322

320,$654.03,163

323,$867.43,106

67,"$1,243.15",292

73,$380.25,181

16,"$1,941.26",157

46,"$1,085.43",64

187,$455.39,408

479,"$1,357.41",273

270,"$1,438.81",389

175,"$5,035.98",251

451,"$3,307.95",419

243,"$4,464.06",391

472,"$1,411.93",428

231,$583.40,251

462,"$2,708.73",34

454,"$1,041.98",311

40,$421.96,339

361,"$1,470.10",261

11,"$1,259.26",392

123,$428.91,361

376,"$1,031.65",15

344,"$1,599.97",188

418,$429.94,216

445,"$1,922.87",159

463,"$1,410.99",462

263,$494.40,500

103,$531.80,446

420,"$1,513.48",419

364,$253.82,265

365,"$2,536.53",213

449,"$2,199.48",345

264,$482.77,467

11,"$1,571.17",168

140,"$1,663.57",139

193,$378.34,19

438,$970.51,300

63,$418.02,392

108,$888.47,286

160,$475.76,488

246,$725.08,467

228,$274.37,261

17,$657.29,236

1,"$1,769.45",473

476,"$1,367.25",393

393,$316.04,430

443,$849.56,192

433,$262.39,137

268,$664.73,204

461,$184.13,236

236,"$2,266.05",317

444,"$1,876.30",294

8,"$1,801.02",213

188,$761.99,351

26,$584.92,236

461,$916.09,500

103,"$2,876.38",350

424,$506.51,120

375,$315.73,65

38,$551.71,347

413,$210.60,251

11,$163.23,92

409,"$1,617.44",6

494,$95.77,113

31,"$1,264.47",352

100,"$1,118.96",277

146,"$2,851.17",19

165,"$1,204.26",81

171,"$1,427.63",208

49,$792.52,485

232,$188.28,325

249,"$3,127.96",397

279,"$2,300.54",98

498,"$1,109.86",232

129,"$1,708.94",223

292,"$1,922.85",114

255,$558.31,385

338,"$1,406.56",277

464,"$2,058.66",150

335,"$2,647.63",155

175,$178.45,290

437,$736.57,195

88,"$3,411.27",325

320,$411.71,158

459,"$2,109.68",452

500,$143.22,28

479,"$3,002.27",491

83,$471.12,230

42,$937.91,324

414,"$2,930.33",144

330,$726.71,469

363,$527.35,140

99,"$1,800.86",344

355,"$1,471.64",187

176,$733.10,138

75,$868.66,465

243,"$1,850.01",242

387,$931.27,325

64,$560.22,458

355,"$5,586.55",373

321,$165.99,133

423,$965.01,253

42,"$2,477.27",324

264,$530.97,298

254,"$2,370.52",469

457,$686.46,347

35,"$1,397.96",30

84,$655.11,95

489,$807.54,417

62,$726.95,433

495,$965.71,460

433,$832.39,481

361,$525.85,319

248,"$1,170.44",355

91,"$1,474.03",339

384,"$2,382.20",395

68,"$2,489.61",256

31,$570.70,242

306,"$1,379.14",485

170,$869.99,498

24,$333.83,329

304,"$1,952.79",393

293,$986.68,459

320,"$1,897.24",325

311,$343.70,50

404,$909.43,174

213,"$1,478.30",442

305,$545.13,492

457,$977.45,377

198,"$3,536.23",315

169,"$1,784.54",365

92,$864.13,257

309,"$2,014.81",434

326,"$2,578.33",392

110,$398.46,403

404,$923.74,344

180,"$4,509.22",406

213,$595.28,170

43,$331.99,204

185,$647.18,418

447,$626.96,251

435,"$2,271.08",87

378,$353.44,46

160,"$2,581.39",144

322,"$1,305.02",489

41,"$4,249.20",286

103,$461.19,438

412,$605.10,89

493,"$2,697.70",4

496,$79.68,430

448,"$3,928.72",65

259,$211.23,139

95,"$1,139.59",153

425,$200.38,146

394,"$4,303.89",448

308,$292.90,409

446,"$1,197.07",200

351,"$2,049.52",477

51,"$1,747.51",57

8,$430.59,64

432,"$1,812.09",266

249,$362.60,456

4,"$12,247.49",425

54,"$1,017.73",324

14,$313.78,108

155,"$2,396.02",280

274,"$4,612.35",278

388,"$2,088.27",170

96,$542.65,307

495,$570.91,363

325,$484.28,271

313,$547.28,140

88,$978.61,66

52,"$3,877.16",42

212,$186.99,216

88,$961.14,57

78,"$5,537.15",287

499,"$1,138.91",348

169,"$2,732.21",493

399,$340.05,133

250,"$1,641.18",480

229,"$1,849.58",38

129,$454.31,438

479,"$2,539.69",351

185,"$1,247.33",384

68,"$4,102.61",212

310,"$6,075.95",88

95,"$1,730.38",190

421,$180.50,28

200,"$4,588.02",282

300,$843.86,95

409,"$3,870.54",408

219,$194.80,278

317,"$1,765.68",105

213,$561.18,341

334,"$1,374.00",22

419,"$3,580.04",187

237,$470.12,473

235,$624.65,354

491,$234.34,270

317,$318.33,220

132,$130.13,225

441,"$1,087.84",399

143,"$3,108.10",33

418,"$3,919.84",325

152,"$1,993.13",253

434,$296.54,441

413,"$1,531.35",494

320,"$3,392.39",79

94,$494.40,373

473,$817.33,488

477,"$1,292.66",245

453,"$1,797.46",391

138,$425.70,469

256,"$1,207.25",429

9,$229.04,53

470,"$4,621.74",229

165,$897.14,24

104,$594.91,384

440,$520.04,391

154,"$1,421.30",364

45,"$1,146.80",297

451,$402.68,71

30,$169.30,35

388,"$1,183.56",385

329,$299.76,319

96,"$1,423.17",133

385,"$1,363.74",203

362,$280.19,95

205,$321.84,402

288,$950.81,184

93,$434.71,173

113,"$4,349.44",300

2,"$1,326.51",227

441,$374.52,395

62,"$3,016.88",261

55,"$3,614.68",92

356,$122.67,390

164,$284.63,6

489,"$3,614.93",7

19,$543.00,448

32,$696.00,94

40,$684.92,169

288,"$1,871.56",145

167,"$1,809.61",410

313,$669.81,217

127,"$8,891.31",13

108,"$1,677.19",46

491,$98.15,326

476,"$4,936.69",371

381,$692.20,462

70,"$3,425.99",333

38,"$4,717.17",252

113,$466.01,424

54,"$1,377.86",476

330,"$2,368.05",415

37,"$2,038.19",325

463,$122.16,242

270,$86.20,457

236,"$2,294.02",182

293,$659.52,79

200,"$3,550.88",24

362,"$3,057.38",7

451,"$1,228.91",341

275,$462.19,457

370,$658.81,186

342,$420.59,483

187,$929.29,167

403,$628.31,177

462,"$3,041.37",21

406,$613.99,145

322,"$3,335.47",195

115,"$1,760.03",175

386,"$3,309.51",435

471,"$1,111.89",110

339,$498.43,300

234,$268.25,69

413,$493.65,269

296,$598.15,412

473,"$2,222.79",421

396,$665.98,380

258,"$1,189.00",368

373,$612.44,300

257,$122.29,12

433,"$1,995.98",368

200,"$4,399.87",195

3,"$1,729.56",456

100,"$1,804.68",35

40,"$2,012.78",218

219,$230.65,120

434,$485.70,21

118,$187.42,162

278,"$1,655.89",176

473,$817.04,30

156,$333.09,159

42,"$1,104.23",200

198,$221.69,86

451,"$1,052.09",492

442,"$7,137.30",395

322,$386.62,491

490,$604.48,116

148,"$1,774.98",296

476,"$4,255.06",422

393,"$2,194.04",214

442,"$1,113.80",294

332,$511.19,37

90,$629.04,156

132,"$1,962.19",127

246,$816.68,257

464,"$1,737.09",338

152,"$3,081.38",254

219,"$1,175.99",415

467,$991.24,385

409,"$2,708.48",296

201,"$5,406.31",183

272,"$2,452.99",333

198,$384.55,424

448,$326.82,157

174,"$1,716.91",280

123,$447.89,128

151,$534.55,454

408,$521.84,491

63,"$1,015.52",186

256,"$4,544.36",199

83,$129.49,70

163,"$3,508.98",380

45,$691.27,82

381,$664.59,473

126,"$1,963.31",410

436,"$8,536.02",226

271,"$1,974.21",449

32,$637.00,447

405,"$1,121.84",184

299,$281.01,389

193,$474.28,163

67,$672.53,389

111,$590.22,28

320,$890.09,344

171,$72.51,145

312,"$5,013.46",421

225,"$1,053.31",32

225,"$3,232.25",383

198,$568.69,256

137,"$1,223.39",488

158,"$2,298.48",142

58,"$1,737.49",153

433,$518.58,437

137,$504.93,64

116,$351.45,166

348,$343.29,216

253,"$2,467.20",158

230,$969.14,206

37,$310.91,293

50,$141.34,189

118,$114.83,353

51,"$3,104.69",32

431,"$4,090.84",238

149,$292.14,93

333,"$3,154.98",70

264,$416.52,217

47,"$2,028.70",56

368,$308.71,171

297,$401.61,152

342,"$3,087.04",118

172,$829.88,180

451,$363.15,111

273,"$2,075.33",251

470,$867.04,296

141,"$1,627.94",103

301,$73.69,297

67,$719.56,255

355,"$2,206.41",103

379,"$2,277.89",131

161,$67.89,61

177,$344.61,120

420,"$3,690.26",146

303,$191.71,352

382,$261.04,423

5,"$1,118.87",281

313,$93.04,305

105,$977.28,413

407,"$1,523.94",356

314,"$1,177.50",42

223,$546.31,326

22,"$1,592.54",442

27,$983.27,112

64,$603.81,410

466,"$3,506.36",176

186,"$2,135.67",126

200,"$1,071.49",491

162,"$6,347.47",224

41,"$2,007.64",299

287,$518.44,278

294,$583.94,358

122,$210.88,13

147,"$1,226.61",373

410,$432.10,46

149,$267.00,88

279,"$1,898.90",316

124,"$3,165.70",339

29,"$2,443.85",401

429,$628.92,346

282,$655.50,76

15,$393.42,55

319,"$8,646.69",212

286,"$1,424.30",323

122,$713.48,356

199,"$1,216.38",350

81,$243.27,134

434,"$4,164.18",314

390,"$4,560.93",110

247,"$2,110.23",145

158,$617.70,181

250,$515.41,340

347,"$1,677.41",353

12,"$3,363.82",422

256,"$2,636.77",304

360,$623.10,222

325,$784.90,27

366,"$1,388.55",224

276,"$3,319.29",89

241,"$1,160.63",94

488,"$1,234.88",204

128,"$3,738.62",207

181,$225.84,382

10,$146.70,449

341,"$1,262.75",309

205,$153.73,231

154,$322.53,354

29,"$2,590.77",394

22,"$2,061.10",456

197,"$2,080.23",101

258,"$1,358.09",296

395,$351.22,215

386,"$2,423.41",132

135,$454.51,304

255,"$2,405.87",350

48,$867.15,90

421,$407.42,280

68,"$1,261.50",121

211,"$3,023.16",330

473,$182.16,50

475,"$1,591.10",307

202,"$1,228.77",190

56,$390.44,127

424,$514.61,498

373,"$6,366.17",400

348,$780.07,267

232,"$4,441.05",220

472,"$2,056.23",383

29,"$1,901.77",3

94,"$3,711.52",91

311,"$3,836.35",274

180,$358.08,499

84,"$1,466.73",32

493,"$3,291.25",99

438,$800.49,247

161,"$2,225.94",111

433,$983.65,130

123,$769.50,374

142,"$1,160.63",361

383,"$3,878.37",64

56,$316.31,277

213,$560.06,146

91,"$4,855.94",86

462,"$1,638.64",270

445,$221.99,316

231,$708.02,397

399,$657.07,58

389,"$1,349.22",54

273,$456.41,324

260,$669.44,467

201,$111.12,269

88,"$2,959.80",323

248,"$2,079.91",188

407,$184.55,272

149,$722.77,48

238,"$2,964.19",412

123,"$7,540.54",323

406,$717.86,446

14,$617.29,84

405,$161.79,448

45,"$1,009.61",265

139,"$1,993.23",351

270,"$1,099.81",194

264,"$2,089.43",275

176,$325.97,423

57,$214.27,83

375,$704.90,313

254,"$1,591.68",76

362,$334.01,404

450,$167.87,99

331,"$1,002.49",240

214,$195.60,57

243,$210.66,289

452,$770.60,457

309,"$1,201.58",19

428,$850.62,246

178,$424.28,455

363,"$1,080.45",469

135,$422.77,66

442,$419.35,360

113,"$1,923.71",60

245,$872.26,258

272,$479.55,218

6,$585.40,210

393,"$10,991.54",332

209,$332.73,152

296,$617.46,49

157,$399.13,144

311,$371.53,98

356,$130.81,21

257,$206.94,440

338,$245.60,321

487,"$2,800.05",465

193,$243.61,483

80,$173.22,17

7,$787.19,364

90,"$2,683.66",107

98,"$1,245.98",426

377,"$2,625.47",37

106,$783.32,56

438,"$3,743.79",315

451,$194.16,154

38,"$1,050.10",419

460,"$1,368.02",497

268,"$1,646.63",399

6,"$2,860.62",125

493,"$1,226.89",327

372,$851.30,58

497,$904.89,55

458,"$3,147.97",387

330,"$1,023.20",391

286,$953.01,258

112,"$1,289.52",33

321,"$3,232.47",228

478,"$1,059.48",367

113,$265.58,24

482,$384.42,213

67,$965.31,175

344,$54.14,194

282,$142.98,383

32,"$3,952.80",376

16,"$1,715.76",255

87,"$1,873.73",27

232,"$1,750.80",397

346,"$1,974.82",381

91,"$1,044.75",307

148,$545.59,396

112,"$1,283.74",161

292,$240.48,175

359,$644.35,456

119,$573.70,200

312,$958.83,249

203,$687.78,409

14,"$2,361.98",171

93,$341.40,199

189,$962.87,381

30,"$1,110.66",170

163,"$1,235.22",471

470,$113.87,319

153,$562.00,110

56,$371.61,29

137,"$2,120.72",441

18,$594.75,142

286,"$1,906.87",358

436,"$1,203.08",169

1,$266.47,364

307,$904.08,300

247,"$3,418.32",187

227,$203.68,424

354,$502.62,224

456,"$20,332.80",316

112,"$1,316.15",385

417,"$3,942.77",219

229,$364.92,263

147,$711.77,484

263,$218.40,496

54,$107.03,388

22,$751.00,457

270,$403.68,418

223,"$1,369.73",14

401,$177.31,449

342,$890.41,120

6,$983.52,300

316,"$1,020.25",229

465,$769.66,229

